id;address_1;address_2;city;postcode;country;timezone;latitude;longitude
1;mindshare Interactions Versatile;Frozen Rubber line;Ricardobury;Sports wit;Si;Customer Cambridgeshire end-to-end;51509;42173
2;Buckinghamshire;Account;Effertzville;Credit;Ve;Car Table invoice;84516;49711
3;invoice Hat;Dollar Incredible;La Mesa;Pizza;Ec;Timor-Leste;37247;47085
4;orchid Leone Alaska;Guilder;VonRuedenside;National S;Na;program transmit HTTP;38488;48004
5;USB;Dinar;Lake Luciebury;bus;Cu;projection Taka JBOD;78737;93840
6;Savings motivating Account;Luxembourg Awesome;Port Trevionborough;calculate ;Mo;boliviano;230;32439
7;disintermediate Architect Gloves;Rubber Orchestrator;Corpus Christi;Pound Shoe;Sv;Grass-roots Identity;60969;21866
8;Soft;systematic Avon analyzer;Elmhurst;Unbranded ;Et;Investor back Computers;86213;19308
9;compress Licensed navigate;Frozen Tasty;Lake Madisynville;generation;Ar;navigate Beauty Court;61308;21341
10;Shoes;digital;Ethabury;cyan hardw;La;Barbados Interactions;99350;28947
